trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_text.started,instr_text.stopped,intr_kb.keys,intr_kb.rt,intr_kb.started,intr_kb.stopped,doll_im.started,doll_im.stopped,task_kb.keys,task_kb.started,task_kb.stopped,task_kb.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.382066400256008,None,space,0.7910422999411821,13.382066400256008,None,,,,,,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
0,0,0,0,,,,,,,14.605354400351644,15.635526400059462,None,14.605354400351644,None,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
1,0,1,0,,,,,,,15.910699100233614,16.938288300298154,None,15.910699100233614,15.910699100233614,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
2,0,2,0,,,,,,,17.219865300226957,18.245087300427258,None,17.219865300226957,17.219865300226957,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
3,0,3,0,,,,,,,18.515369000378996,19.544980000238866,space,18.515369000378996,18.515369000378996,0.3057641997002065,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
4,0,4,0,,,,,,,19.86099550034851,20.89065570011735,None,19.86099550034851,19.86099550034851,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
5,0,5,0,,,,,,,21.169129700399935,22.195459300186485,space,21.169129700399935,21.169129700399935,0.22398859960958362,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
6,0,6,0,,,,,,,22.474790000356734,23.50175670022145,space,22.474790000356734,22.474790000356734,0.09846260026097298,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
7,0,7,0,,,,,,,23.79716970026493,24.82313570007682,space,23.79716970026493,23.79716970026493,0.11995019996538758,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
8,0,8,0,,,,,,,25.088075500447303,26.116054700221866,space,25.088075500447303,25.088075500447303,0.11316399974748492,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
9,0,9,0,,,,,,,26.39221220044419,27.42022650036961,None,26.39221220044419,26.39221220044419,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
10,0,10,0,,,,,,,27.714400300290436,28.74120770022273,space,27.714400300290436,27.714400300290436,0.21469860011711717,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
11,0,11,0,,,,,,,29.04716940037906,30.07425310043618,space,29.04716940037906,29.04716940037906,0.22591450018808246,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
12,0,12,0,,,,,,,30.370648700278252,31.400445900391787,None,30.370648700278252,30.370648700278252,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
13,0,13,0,,,,,,,31.692925600335002,32.71743950014934,space,31.692925600335002,31.692925600335002,0.08836469985544682,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
14,0,14,0,,,,,,,32.995656800456345,34.02360140020028,space,32.995656800456345,32.995656800456345,0.34555039973929524,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
15,0,15,0,,,,,,,34.29170970013365,35.3188257003203,space,34.29170970013365,34.29170970013365,0.32141589978709817,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
16,0,16,0,,,,,,,35.60451060021296,36.63002230040729,None,35.60451060021296,35.60451060021296,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
17,0,17,0,,,,,,,36.904169000219554,37.93330280017108,space,36.904169000219554,36.904169000219554,0.17707950016483665,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
18,0,18,0,,,,,,,38.217778800055385,39.24371360009536,None,38.217778800055385,38.217778800055385,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
19,0,19,0,,,,,,,39.51367190014571,40.541139100212604,None,39.51367190014571,39.51367190014571,,,001,2021_Oct_19_1634,class_demo_redlight_greenlight,2021.1.4,29.929922083408485,
