trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_text.started,instr_text.stopped,intr_kb.keys,intr_kb.rt,intr_kb.started,intr_kb.stopped,doll_im.started,doll_im.stopped,task_kb.keys,task_kb.started,task_kb.stopped,polygon.started,polygon.stopped,angry_doll_im.started,angry_doll_im.stopped,task_kb.rt,participant,hit_outcome,fa_outcome,hits_goal,num_go_trials,num_nogo_trials,date,expName,psychopyVersion,frameRate,
,,,,13.563378299993929,None,space,0.6779044000140857,13.563378299993929,None,,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
0,0,0,0,,,,,,,14.58453669998562,14.914819500001613,None,14.58453669998562,None,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
1,0,1,0,,,,,,,15.28930799997761,15.618972600001143,space,15.28930799997761,15.28930799997761,None,None,None,None,0.2578235999972094,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
2,0,2,0,,,,,,,16.019302400003653,16.34579130000202,None,16.019302400003653,16.019302400003653,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
3,0,3,0,,,,,,,16.734240399993723,17.061185500002466,None,16.734240399993723,16.734240399993723,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
4,0,4,0,,,,,,,17.43863209997653,17.76824529998703,None,17.43863209997653,17.43863209997653,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
5,0,5,0,,,,,,,18.120810199994594,18.443781799986027,None,18.120810199994594,18.120810199994594,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
6,0,6,0,,,,,,,18.805115700000897,19.108220399997663,space,18.805115700000897,18.805115700000897,None,None,None,None,0.08241380000254139,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
7,0,7,0,,,,,,,19.4582187999913,19.78172159998212,None,19.4582187999913,19.4582187999913,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
8,0,8,0,,,,,,,20.139932999998564,20.46393519997946,space,20.139932999998564,20.139932999998564,None,None,None,None,0.3150586999836378,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
9,0,9,0,,,,,,,20.80451729998458,21.12887509999564,space,20.80451729998458,20.80451729998458,None,None,None,None,0.40644029999384657,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
10,0,10,0,,,,,,,21.467119699984323,21.795586399995955,space,21.467119699984323,21.467119699984323,None,None,None,None,0.2981001000152901,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
11,0,11,0,,,,,,,22.14575519997743,22.471793299977435,space,22.14575519997743,22.14575519997743,22.77124819997698,None,22.77124819997698,None,0.2554707999806851,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
12,0,12,0,,,,,,,25.823015399975702,26.148619099985808,space,25.823015399975702,None,26.448483099986333,None,26.448483099986333,None,0.4519603999797255,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
13,0,13,0,,,,,,,29.49651259998791,29.820266199996695,space,29.49651259998791,None,None,None,None,None,0.4167867999931332,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
14,0,14,0,,,,,,,30.18737780000083,30.512509799998952,space,30.18737780000083,30.18737780000083,None,None,None,None,0.3577758999890648,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
15,0,15,0,,,,,,,30.861476299993228,31.185298700002022,None,30.861476299993228,30.861476299993228,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
16,0,16,0,,,,,,,31.524441099987598,31.84806039999239,None,31.524441099987598,31.524441099987598,None,None,None,None,,,1,beginning,20,200,100,2021_Oct_25_1757,redlight_greenlight_casino_final,2021.1.4,29.894865735218865,
