trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,congrats_loop.thisRepN,congrats_loop.thisTrialN,congrats_loop.thisN,congrats_loop.thisIndex,instr_text.started,instr_text.stopped,intr_kb.keys,intr_kb.rt,intr_kb.started,intr_kb.stopped,doll_im.started,doll_im.stopped,task_kb.keys,task_kb.started,task_kb.stopped,polygon.started,polygon.stopped,angry_doll_im.started,angry_doll_im.stopped,task_kb.rt,circle.started,circle.stopped,star.started,star.stopped,triangle.started,triangle.stopped,next_game.started,next_game.stopped,participant,hit_outcome,fa_outcome,hits_goal,num_go_trials,num_nogo_trials,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.372000500006834,None,space,1.5440136999823153,30.372000500006834,None,,,,,,,,,,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
0,0,0,0,,,,,,,,,,,32.365555600001244,32.694860099989455,None,32.365555600001244,None,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
1,0,1,0,,,,,,,,,,,33.056132500001695,33.38543059999938,None,33.056132500001695,33.056132500001695,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
2,0,2,0,,,,,,,,,,,33.75870710000163,34.08228999999119,None,33.75870710000163,33.75870710000163,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
3,0,3,0,,,,,,,,,,,34.43399829999544,34.76009999998496,space,34.43399829999544,34.43399829999544,None,None,None,None,0.4759407000092324,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
4,0,4,0,,,,,,,,,,,35.09498659998644,35.42150979998405,space,35.09498659998644,35.09498659998644,None,None,None,None,0.25320059998193756,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
5,0,5,0,,,,,,,,,,,35.788741800002754,36.114778299990576,space,35.788741800002754,35.788741800002754,None,None,None,None,0.043487499991897494,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
6,0,6,0,,,,,,,,,,,36.45286839999608,36.780471999984,space,36.45286839999608,36.45286839999608,None,None,None,None,0.2273212000145577,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
7,0,7,0,,,,,,,,,,,37.141979799984256,37.46637879998889,None,37.141979799984256,37.141979799984256,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
8,0,8,0,,,,,,,,,,,37.81980490000569,38.1439221999899,space,37.81980490000569,37.81980490000569,None,None,None,None,0.30620759999146685,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
9,0,9,0,,,,,,,,,,,38.48125039998558,38.80896019999636,space,38.48125039998558,38.48125039998558,None,None,None,None,0.45066530001349747,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
10,0,10,0,,,,,,,,,,,39.146013399993535,39.47377710000728,None,39.146013399993535,39.146013399993535,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
11,0,11,0,,,,,,,,,,,39.82374649998383,40.14925729998504,space,39.82374649998383,39.82374649998383,40.44910009999876,None,40.44910009999876,None,0.21048909999080934,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
12,0,12,0,,,,,,,,,,,43.50068800000008,43.82590860000346,None,43.50068800000008,None,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
13,0,13,0,,,,,,,,,,,44.197187999991,44.52169920000597,None,44.197187999991,44.197187999991,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
14,0,14,0,,,,,,,,,,,44.87424939998891,45.19783799999277,None,44.87424939998891,44.87424939998891,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
15,0,15,0,,,,,,,,,,,45.60020479999366,45.928920000005746,None,45.60020479999366,45.60020479999366,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
16,0,16,0,,,,,,,,,,,46.271487099991646,46.59858950000489,space,46.271487099991646,46.271487099991646,None,None,None,None,0.2863902999961283,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
17,0,17,0,,,,,,,,,,,46.93814330000896,47.26188909998746,space,46.93814330000896,46.93814330000896,None,None,None,None,0.26200279998010956,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
18,0,18,0,,,,,,,,,,,47.61362879999797,47.9370964000118,None,47.61362879999797,47.61362879999797,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
19,0,19,0,,,,,,,,,,,48.30031210000743,48.62858950000373,None,48.30031210000743,48.30031210000743,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
20,0,20,0,,,,,,,,,,,48.96595630000229,49.29048440000042,None,48.96595630000229,48.96595630000229,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
21,0,21,0,,,,,,,,,,,49.666561599995475,49.99210820000735,space,49.666561599995475,49.666561599995475,None,None,None,None,0.36365320000913925,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
22,0,22,0,,,,,,,,,,,50.32694540001103,50.654426900000544,None,50.32694540001103,50.32694540001103,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
23,0,23,0,,,,,,,,,,,51.011024500010535,51.3351401000109,None,51.011024500010535,51.011024500010535,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
24,0,24,0,,,,,,,,,,,51.68393040000228,52.008544599986635,space,51.68393040000228,51.68393040000228,None,None,None,None,0.059976099990308285,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
25,0,25,0,,,,,,,,,,,52.34219580001081,52.67009639999014,space,52.34219580001081,52.34219580001081,None,None,None,None,0.3779785000078846,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
26,0,26,0,,,,,,,,,,,53.05395880001015,53.3836425000045,space,53.05395880001015,53.05395880001015,None,None,None,None,0.3306192000163719,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
27,0,27,0,,,,,,,,,,,53.81016019999515,54.13863929998479,space,53.81016019999515,53.81016019999515,None,None,None,None,0.3678745999932289,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
28,0,28,0,,,,,,,,,,,54.513497300009476,54.83786309999414,None,54.513497300009476,54.513497300009476,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
29,0,29,0,,,,,,,,,,,55.188857600005576,55.514091899996856,space,55.188857600005576,55.188857600005576,None,None,None,None,0.22916210000403225,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
30,0,30,0,,,,,,,,,,,55.91569550000713,56.24471729999641,space,55.91569550000713,55.91569550000713,None,None,None,None,0.3585673999914434,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
31,0,31,0,,,,,,,,,,,56.582338699983666,56.90737060000538,space,56.582338699983666,56.582338699983666,None,None,None,None,0.31356129999039695,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
32,0,32,0,,,,,,,,,,,57.274009499989916,57.59842200001003,None,57.274009499989916,57.274009499989916,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
33,0,33,0,,,,,,,,,,,57.955349099996965,58.282687600003555,space,57.955349099996965,57.955349099996965,58.58238720000372,None,58.58238720000372,None,0.23082620001514442,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
34,0,34,0,,,,,,,,,,,61.63881730000139,61.968564399983734,None,61.63881730000139,None,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
35,0,35,0,,,,,,,,,,,62.298581699986244,62.622035300009884,space,62.298581699986244,62.298581699986244,62.922351299988804,None,62.922351299988804,None,0.015368499996839091,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
36,0,36,0,,,,,,,,,,,65.9716916999896,66.29366759999539,None,65.9716916999896,None,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
37,0,37,0,,,,,,,,,,,66.63046799998847,66.95887760000187,space,66.63046799998847,66.63046799998847,None,None,None,None,0.165857700019842,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
38,0,38,0,,,,,,,,,,,67.31306829999085,67.64207939998596,space,67.31306829999085,67.31306829999085,None,None,None,None,0.22878040000796318,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
39,0,39,0,,,,,,,,,,,67.98238609998953,68.30886270001065,space,67.98238609998953,67.98238609998953,None,None,None,None,0.3395817000127863,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
40,0,40,0,,,,,,,,,,,68.66083529999014,68.98591300001135,None,68.66083529999014,68.66083529999014,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
41,0,41,0,,,,,,,,,,,69.32260320000933,69.64887400000589,None,69.32260320000933,69.32260320000933,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
42,0,42,0,,,,,,,,,,,69.98476550000487,70.31298409998999,None,69.98476550000487,69.98476550000487,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
43,0,43,0,,,,,,,,,,,70.66034939998644,70.98556179998559,space,70.66034939998644,70.66034939998644,None,None,None,None,0.3195408000028692,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
44,0,44,0,,,,,,,,,,,71.36537749998388,71.69326589998673,space,71.36537749998388,71.36537749998388,None,None,None,None,0.3604738999856636,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
45,0,45,0,,,,,,,,,,,72.07458799998858,72.40368749998743,space,72.07458799998858,72.07458799998858,None,None,None,None,0.3655731000180822,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
46,0,46,0,,,,,,,,,,,72.76764400000684,73.09391580001102,space,72.76764400000684,72.76764400000684,None,None,None,None,0.36864229998900555,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
47,0,47,0,,,,,,,,,,,73.44066459999885,73.76405060000252,None,73.44066459999885,73.44066459999885,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
48,0,48,0,,,,,,,,,,,74.10193949998938,74.42924759999732,None,74.10193949998938,74.10193949998938,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
49,0,49,0,,,,,,,,,,,74.78207059999113,75.104585699999,space,74.78207059999113,74.78207059999113,None,None,None,None,0.3459124999935739,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
50,0,50,0,,,,,,,,,,,75.44185639999341,75.76956260000588,space,75.44185639999341,75.44185639999341,None,None,None,None,0.3542682999977842,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
51,0,51,0,,,,,,,,,,,76.11437070000102,76.4419707999914,space,76.11437070000102,76.11437070000102,None,None,None,None,0.3797737999993842,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
52,0,52,0,,,,,,,,,,,76.81788879999658,77.14642420000746,space,76.81788879999658,76.81788879999658,None,None,None,None,0.40424269999493845,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
53,0,53,0,,,,,,,,,,,77.55864480001037,77.85758799998439,space,77.55864480001037,77.55864480001037,None,None,None,None,0.36536110000452027,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
54,0,54,0,,,,,,,,,,,78.23616969998693,78.56019930000184,None,78.23616969998693,78.23616969998693,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
55,0,55,0,,,,,,,,,,,78.9765655999945,79.3035966999887,None,78.9765655999945,78.9765655999945,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
56,0,56,0,,,,,,,,,,,79.70720010000514,80.03401460000896,None,79.70720010000514,79.70720010000514,None,None,None,None,,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
57,0,57,0,,,,,,,,,,,80.42650289999438,80.75333919998957,space,80.42650289999438,80.42650289999438,None,None,None,None,0.33734349999576807,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
58,0,58,0,,,,,,,,,,,81.09074809998856,81.41660289998981,space,81.09074809998856,81.09074809998856,None,None,None,None,0.28915019999840297,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
59,0,59,0,,,,,,,,,,,81.75507809998817,82.08322890001,space,81.75507809998817,81.75507809998817,None,None,None,None,0.29285129997879267,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
60,0,60,0,,,,,,,,,,,82.4206933999958,82.74746029998641,space,82.4206933999958,82.4206933999958,None,None,None,None,0.26526149999699555,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
61,0,61,0,,,,,,,,,,,83.09556409998913,83.4243215000024,space,83.09556409998913,83.09556409998913,None,None,None,None,0.3282867000089027,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
62,0,62,0,,,,,,,,,,,83.76395910000429,84.08974789999775,space,83.76395910000429,83.76395910000429,None,None,None,None,0.3201359999948181,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
63,0,63,0,,,,,,,,,,,84.48537720000604,84.8122999999905,space,84.48537720000604,84.48537720000604,None,None,None,None,0.33076519999303855,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
64,0,64,0,,,,,,,,,,,85.18726469998364,85.51410880000913,space,85.18726469998364,85.18726469998364,None,None,None,None,0.28080960002262145,,,,,,,,,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,85.85341939999489,None,85.85341939999489,None,85.85341939999489,None,85.85341939999489,None,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,85.98374910000712,85.98374910000712,85.98374910000712,85.98374910000712,85.98374910000712,85.98374910000712,85.98374910000712,85.98374910000712,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,86.11583520000568,86.11583520000568,86.11583520000568,86.11583520000568,86.11583520000568,86.11583520000568,86.11583520000568,86.11583520000568,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,86.24727079999866,86.24727079999866,86.24727079999866,86.24727079999866,86.24727079999866,86.24727079999866,86.24727079999866,86.24727079999866,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,86.3617219000007,86.3617219000007,86.3617219000007,86.3617219000007,86.3617219000007,86.3617219000007,86.3617219000007,86.3617219000007,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,86.50314950000029,86.50314950000029,86.50314950000029,86.50314950000029,86.50314950000029,86.50314950000029,86.50314950000029,86.50314950000029,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,86.63868949998869,86.63868949998869,86.63868949998869,86.63868949998869,86.63868949998869,86.63868949998869,86.63868949998869,86.63868949998869,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,86.7712698999967,86.7712698999967,86.7712698999967,86.7712698999967,86.7712698999967,86.7712698999967,86.7712698999967,86.7712698999967,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,86.9017690999899,86.9017690999899,86.9017690999899,86.9017690999899,86.9017690999899,86.9017690999899,86.9017690999899,86.9017690999899,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,87.0016059000045,87.0016059000045,87.0016059000045,87.0016059000045,87.0016059000045,87.0016059000045,87.0016059000045,87.0016059000045,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,87.10837360000005,87.10837360000005,87.10837360000005,87.10837360000005,87.10837360000005,87.10837360000005,87.10837360000005,87.10837360000005,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,87.26490750000812,87.26490750000812,87.26490750000812,87.26490750000812,87.26490750000812,87.26490750000812,87.26490750000812,87.26490750000812,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,87.39347969999653,87.39347969999653,87.39347969999653,87.39347969999653,87.39347969999653,87.39347969999653,87.39347969999653,87.39347969999653,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,87.52702229999704,87.52702229999704,87.52702229999704,87.52702229999704,87.52702229999704,87.52702229999704,87.52702229999704,87.52702229999704,,1,beginning,20,200,100,2021_Oct_26_1144,redlight_greenlight_casino_final,2021.1.4,30.03320471310653,
